uf,ano,pib_per_capita_ano_anterior,percentual_dtp_rcla,austeridade,mesmopartido,reeleito
AC,2020,2.3128141569861262,52.69,1,0,0
AC,2024,2.472614097078711,46.77,1,1,1
AL,2020,2.299622317541735,39.78,1,1,1
AL,2024,2.3884407321717807,36.08,1,1,0
AM,2020,2.7010735139638644,48.35,1,0,0
AM,2024,2.7403429216411306,38.77,1,0,1
AP,2020,2.4724630738096787,45.46,0,1,0
AP,2024,2.5690979955265125,43.51,1,0,0
BA,2020,2.4090274430626293,40.95,0,1,1
BA,2024,2.4646368855482215,41.65,0,1,0
CE,2020,2.3151923570559014,40.55,0,1,1
CE,2024,2.3297890996092883,43.54,0,1,0
DF,2020,3.9450867503119347,42.05,1,0,0
DF,2024,3.8777846894491264,39.57,1,1,0
ES,2020,2.9666465689497405,38.81,0,0,0
ES,2024,3.038862086525202,36.05,0,1,0
GO,2020,2.8296961262565614,44.91,1,0,0
GO,2024,2.949961717474752,41.7,1,0,1
MA,2020,2.0508175145268757,37.51,0,1,0
MA,2024,2.143527100854343,31.04,0,0,0
MG,2020,2.856906076585484,53.93,0,0,0
MG,2024,2.9210104236601513,48.8,0,1,1
MS,2020,3.0849301910552214,41.87,1,1,1
MS,2024,3.279226339044692,45.2,1,1,0
MT,2020,3.1441475750979895,44.24,1,0,0
MT,2024,3.4433383722411204,37.78,1,0,1
PA,2020,2.465760062840672,38.69,1,0,0
PA,2024,2.4729604170588897,40.55,1,1,1
PB,2020,2.257398559167164,51.24,0,1,0
PB,2024,2.278797316851236,48.27,0,1,1
PE,2020,2.4601382817504622,45.8,0,1,1
PE,2024,2.4362811577534185,40.55,1,0,0
PI,2020,2.206544750109265,39.29,0,1,1
PI,2024,2.308376050888849,41.66,0,1,0
PR,2020,3.139383968301433,45.76,0,0,0
PR,2024,3.1634861106510272,42.71,0,1,1
RJ,2020,3.2401363917519492,46.53,1,0,0
RJ,2024,3.312731535710482,46.76,0,0,0
RN,2020,2.444177938550595,54.81,0,0,0
RN,2024,2.4580347034893206,57.56,0,1,1
RO,2020,2.7116596931754624,37.57,0,0,0
RO,2024,2.8461047636531496,37.41,1,0,0
RR,2020,2.633891476424907,42.35,0,0,0
RR,2024,2.7560989835384166,47.27,1,0,1
RS,2020,3.1750011176899937,42.49,1,0,0
RS,2024,3.143321551899032,43.72,1,1,1
SC,2020,3.245345276560163,44.92,0,0,0
SC,2024,3.3535364319086503,39.66,0,0,0
SE,2020,2.3998187739423824,47.38,0,0,0
SE,2024,2.363990844339623,40.37,0,1,0
SP,2020,3.366409081369355,45.48,1,1,0
SP,2024,3.4075965113401474,42.19,0,0,0
TO,2020,2.654537804298957,45.27,0,1,1
TO,2024,2.7948655442466284,46.32,0,0,0
