SG_UF,ANO_ELEICAO,DS_CARGO,NM_CANDIDATO,SG_PARTIDO,austeridade
AC,2014,GOVERNADOR,SEBASTIÃO AFONSO VIANA MACEDO NEVES,PT,0
AC,2018,GOVERNADOR,GLADSON DE LIMA CAMELI,PP,0
AC,2022,GOVERNADOR,GLADSON DE LIMA CAMELI,PP,0
AL,2014,GOVERNADOR,JOSE RENAN VASCONCELOS CALHEIROS FILHO,PMDB,0
AL,2018,GOVERNADOR,JOSE RENAN VASCONCELOS CALHEIROS FILHO,MDB,0
AL,2022,GOVERNADOR,PAULO SURUAGY DO AMARAL DANTAS,MDB,0
AM,2014,GOVERNADOR (CASSADO),JOSÉ MELO DE OLIVEIRA,PROS,0
AM,2017,GOVERNADOR,AMAZONINO ARMANDO MENDES,PDT,0
AM,2018,GOVERNADOR,WILSON MIRANDA LIMA,PSC,0
AM,2022,GOVERNADOR,WILSON MIRANDA LIMA,UNIÃO,1
AP,2014,GOVERNADOR,ANTÔNIO WALDEZ GÓES DA SILVA,PDT,0
AP,2018,GOVERNADOR,ANTONIO WALDEZ GÓES DA SILVA,PDT,0
AP,2022,GOVERNADOR,CLÉCIO LUÍS VILHENA VIEIRA,SOLIDARIEDADE,0
BA,2014,GOVERNADOR,RUI COSTA DOS SANTOS,PT,0
BA,2018,GOVERNADOR,RUI COSTA DOS SANTOS,PT,0
BA,2022,GOVERNADOR,JERÔNIMO RODRIGUES SOUZA,PT,0
CE,2014,GOVERNADOR,CAMILO SOBREIRA DE SANTANA,PT,0
CE,2018,GOVERNADOR,CAMILO SOBREIRA DE SANTANA,PT,0
CE,2022,GOVERNADOR,ELMANO DE FREITAS DA COSTA,PT,0
DF,2014,GOVERNADOR,RODRIGO SOBRAL ROLLEMBERG,PSB,0
DF,2018,GOVERNADOR,IBANEIS ROCHA BARROS JUNIOR,MDB,0
DF,2022,GOVERNADOR,IBANEIS ROCHA BARROS JÚNIOR,MDB,0
ES,2014,GOVERNADOR,PAULO CESAR HARTUNG GOMES,PMDB,0
ES,2018,GOVERNADOR,JOSE RENATO CASAGRANDE,PSB,0
ES,2022,GOVERNADOR,JOSÉ RENATO CASAGRANDE,PSB,0
GO,2014,GOVERNADOR,MARCONI FERREIRA PERILLO JUNIOR,PSDB,1
GO,2014,GOVERNADOR,MARCONI FERREIRA PERILLO JUNIOR,PSDB,1
GO,2018,GOVERNADOR,RONALDO RAMOS CAIADO,DEM,1
GO,2022,GOVERNADOR,RONALDO RAMOS CAIADO,UNIÃO,1
MA,2014,GOVERNADOR,FLAVIO DINO DE CASTRO E COSTA,PC do B,0
MA,2018,GOVERNADOR,FLÁVIO DINO DE CASTRO E COSTA,PC do B,0
MA,2022,GOVERNADOR,CARLOS ORLEANS BRANDÃO JÚNIOR,PSB,0
MG,2014,GOVERNADOR,FERNANDO DAMATA PIMENTEL,PT,0
MG,2018,GOVERNADOR,ROMEU ZEMA NETO,NOVO,1
MG,2022,GOVERNADOR,ROMEU ZEMA NETO,NOVO,1
MS,2014,GOVERNADOR,REINALDO AZAMBUJA SILVA,PSDB,1
MS,2018,GOVERNADOR,REINALDO AZAMBUJA SILVA,PSDB,1
MS,2022,GOVERNADOR,EDUARDO CORREA RIEDEL,PSDB,1
MT,2014,GOVERNADOR,JOSÉ PEDRO GONÇALVES TAQUES,PDT,0
MT,2018,GOVERNADOR,MAURO MENDES FERREIRA,DEM,1
MT,2022,GOVERNADOR,MAURO MENDES FERREIRA,UNIÃO,1
PA,2014,GOVERNADOR,SIMÃO ROBISON OLIVEIRA JATENE,PSDB,1
PA,2018,GOVERNADOR,HELDER ZAHLUTH BARBALHO,MDB,0
PA,2022,GOVERNADOR,HELDER ZAHLUTH BARBALHO,MDB,0
PB,2014,GOVERNADOR,RICARDO VIEIRA COUTINHO,PSB,0
PB,2018,GOVERNADOR,JOÃO AZEVEDO LINS FILHO,PSB,0
PB,2022,GOVERNADOR,JOÃO AZEVEDO LINS FILHO,PSB,0
PE,2014,GOVERNADOR,PAULO HENRIQUE SARAIVA CÂMARA,PSB,0
PE,2018,GOVERNADOR,PAULO HENRIQUE SARAIVA CÂMARA,PSB,0
PE,2022,GOVERNADOR,RAQUEL TEIXEIRA LYRA LUCENA,PSDB,1
PI,2014,GOVERNADOR,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,PT,0
PI,2018,GOVERNADOR,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,PT,0
PI,2022,GOVERNADOR,RAFAEL TAJRA FONTELES,PT,0
PR,2014,GOVERNADOR,CARLOS ALBERTO RICHA,PSDB,1
PR,2018,GOVERNADOR,CARLOS ROBERTO MASSA JUNIOR,PSD,1
PR,2022,GOVERNADOR,CARLOS ROBERTO MASSA JUNIOR,PSD,1
RJ,2014,GOVERNADOR,LUIZ FERNANDO DE SOUZA,PMDB,0
RJ,2018,GOVERNADOR,WILSON JOSÉ WITZEL,PSC,0
RJ,2022,GOVERNADOR,CLÁUDIO BOMFIM DE CASTRO E SILVA,PL,1
RN,2014,GOVERNADOR,ROBINSON MESQUITA DE FARIA,PSD,1
RN,2018,GOVERNADOR,MARIA DE FATIMA BEZERRA,PT,0
RN,2022,GOVERNADOR,MARIA DE FATIMA BEZERRA,PT,0
RO,2014,GOVERNADOR,CONFUCIO AIRES MOURA,PMDB,0
RO,2018,GOVERNADOR,MARCOS JOSE ROCHA DOS SANTOS,PSL,0
RO,2022,GOVERNADOR,MARCOS JOSÉ ROCHA DOS SANTOS,UNIÃO,1
RR,2014,GOVERNADOR,MARIA SUELY SILVA CAMPOS,PP,0
RR,2018,GOVERNADOR,ANTONIO OLIVERIO GARCIA DE ALMEIDA,PSL,0
RR,2022,GOVERNADOR,ANTONIO OLIVERIO GARCIA DE ALMEIDA,PP,0
RS,2014,GOVERNADOR,JOSÉ IVO SARTORI,PMDB,0
RS,2018,GOVERNADOR,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,PSDB,1
RS,2022,GOVERNADOR,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,PSDB,1
SC,2014,GOVERNADOR,JOÃO RAIMUNDO COLOMBO,PSD,1
SC,2018,GOVERNADOR,CARLOS MOISÉS DA SILVA,PSL,0
SC,2022,GOVERNADOR,JORGINHO DOS SANTOS MELLO,PL,1
SE,2014,GOVERNADOR,JACKSON BARRETO DE LIMA,PMDB,0
SE,2018,GOVERNADOR,BELIVALDO CHAGAS SILVA,PSD,1
SE,2022,GOVERNADOR,FÁBIO CRUZ MITIDIERI,PSD,1
SP,2014,GOVERNADOR,GERALDO JOSE RODRIGUES ALCKMIN FILHO,PSDB,1
SP,2018,GOVERNADOR,JOÃO AGRIPINO DA COSTA DORIA JUNIOR,PSDB,1
SP,2022,GOVERNADOR,TARCISIO GOMES DE FREITAS,REPUBLICANOS,1
TO,2014,GOVERNADOR (CASSADO),MARCELO DE CARVALHO MIRANDA,PMDB,0
TO,2018,GOVERNADOR,MAURO CARLESSE,PHS,0
TO,2018,GOVERNADOR,MAURO CARLESSE,PHS,0
TO,2022,GOVERNADOR,WANDERLEI BARBOSA CASTRO,REPUBLICANOS,1
